@ ccode	cname	superpwr	butterw	kende	ssm_is	ssm_es	ssis6074	sses6074	ssis7580	sses7580	ssal6080	ssal6074	ssal7580	poldem60	poldem65	civil73	polit73	civil79	polit79	fh73	fh75_80	dembin	area	defexd	defexdpc	encon	enconpc	gnppc	gdppc	impexppc	impexp	ecintdep	tvpc	szmil	szmilpc	popltn	larea	lpopltn	lszmil	lszmilpc	ltvpc	lecintd	limpexpc	limpexp	lencnpc	lgdppc	milwp70	popln70	ecnpc70	trade75	lmilwp70	lpopln70	lecnpc70 @
210	Netherlands	0	1	1	0	0	0	0	0	0	0	0	0	99.9	99.7	1	1	1	1	14	14	1	13	1135050	8718	66190	5084	2398	2171	193248	2515900	0.806	23350	121	92	13019	1.114	4.115	2.083	1.964	4.368	-0.094	5.286	6.401	3.706	3.337	14.1	13032	5065	88.7	1.1492	4.1150	3.7046
211	Belgium	0	2	4	0	0	0	0	0	0	0	0	0	99.7	99.9	1	1	1	1	14	14	1	12	650799	6737	59650	6164	2523	2212	237795	2297100	0.943	20745	95	98	9660	1.079	3.985	1.978	1.991	4.317	-0.026	5.376	6.361	3.79	3.345	18.1	9638	6155	96.8	1.2577	3.9840	3.7892
220	France	0	2	3	0	0	0	0	0	0	0	0	0	89.7	90.8	2	1	2	1	13	13	1	211	5540541	10911	193040	3802	3016	2590	72200	3666100	0.239	21600	506	99	50777	2.324	4.706	2.704	1.996	4.334	-0.621	4.859	6.564	3.58	3.413	18.1	50670	3805	33.9	1.2577	4.7048	3.5804
225	Switzerland	0	0	0	0	0	0	0	0	0	0	0	0	99.6	99.7	1	1	1	1	14	14	1	16	472466	7536	21600	3445	3169	2887	185165	1160800	0.584	20320	656	1046	6269	1.204	3.797	2.817	3.02	4.308	-0.233	5.268	6.065	3.537	3.46	6.1	6267	3443	48.8	0.7853	3.7971	3.5369
230	Spain	0	0	0	0	0	0	0	0	0	0	0	0	10.7	10.4	6	5	3	2	5	8	0	195	605835	1793	49760	1473	954	880	21024	710200	0.22	12182	282	83	33779	2.29	4.529	2.45	1.919	4.086	-0.657	4.323	5.851	3.168	2.944	17.4	33779	1485	24.6	1.2405	4.5286	3.1717
235	Portugal	0	4	5	0	0	0	0	0	0	0	0	0	41.6	39	6	5	2	2	5	8.5	0	35	421674	4378	6060	629	605	549	26282	253100	0.434	4018	186	193	9630	1.544	3.984	2.27	2.286	3.604	-0.362	4.42	5.403	2.799	2.74	43.1	8628	702	38.4	1.6345	3.9359	2.8463
260	West_Germany	0	0	0	0	0	0	0	0	0	0	0	0	88	88.6	1	1	2	1	14	13.5	1	96	5827572	9608	317800	5392	2786	2389	107516	6520900	0.386	27617	466	76	60650	1.982	4.783	2.668	1.881	4.441	-0.414	5.031	6.814	3.732	3.378	13.2	60700	5235	39.8	1.1206	4.7832	3.7189
265	East_Germany	0	1	0	0	0	0	0	0	0	0	0	0	19.6	18.1	7	7	6	7	2	2.5	0	42	398996	2338	103020	6366	.	983	55263	942800	0.562	26371	129	75	17060	1.623	4.232	2.111	1.875	4.421	-0.25	4.742	5.974	3.804	2.993	19.4	17058	5983	32.5	1.2878	4.2319	3.7769
290	Poland	0	1	0	0	0	0	0	0	0	0	0	0	23.8	22.1	6	6	5	6	4	4.5	0	120	407012	1253	138910	4277	.	928	22036	715600	0.237	12980	242	74	32473	2.079	4.512	2.384	1.869	4.113	-0.624	4.343	5.855	3.631	2.968	14.9	32473	4278	25.8	1.1732	4.5115	3.6312
305	Austria	0	0	0	0	0	0	0	0	0	0	0	0	97.2	97.1	1	1	1	1	14	14	1	32	151834	2054	25360	3431	1830	1558	86672	640600	0.474	19293	49	66	7391	1.505	3.869	1.69	1.82	4.285	-0.325	4.938	5.807	3.535	3.193	12.0	7447	3397	46.1	1.0792	3.8720	3.5311
310	Hungary	0	1	0	0	0	0	0	0	0	0	0	0	28	11.6	6	6	5	6	4	4.5	0	36	170665	1655	32960	3197	1383	1186	46784	482300	0.338	17159	102	98	10309	1.556	4.013	2.009	1.991	4.234	-0.471	4.67	5.683	3.505	3.074	20.9	10338	3184	58.5	1.3201	4.0144	3.5030
315	Czechoslavakia	0	1	0	0	0	0	0	0	0	0	0	0	22.3	20.5	7	7	6	7	2	2.5	0	49	378635	2622	91230	6306	2230	.	51849	748700	0.233	21405	168	116	14440	1.69	4.16	2.225	2.064	4.331	-0.634	4.715	5.874	3.8	.	23.6	14339	6507	32.6	1.3729	4.1565	3.8134
325	Italy	0	0	0	0	0	0	0	0	0	0	0	0	97	96.8	2	1	2	2	13	12.5	1	116	2249311	4198	144100	2685	1666	1470	52596	2817600	0.316	18138	413	77	53570	2.064	4.729	2.616	1.886	4.259	-0.501	4.721	6.45	3.429	3.167	12.5	53565	2689	46.7	1.0969	4.7289	3.4296
339	Albania	0	0	0	0	0	0	0	0	0	0	0	0	20.4	18.2	7	7	7	7	2	2	0	11	7899	364	1340	618	.	182	10970	23785	0.603	96	42	193	2168	1.041	3.336	1.623	2.286	1.982	-0.22	4.04	4.376	2.791	2.26	45.0	2169	618	.	1.6532	3.3363	2.7910
345	Yugoslavia	0	0	0	0	0	0	0	0	0	0	0	0	42.6	50.8	6	6	5	6	4	4.5	0	99	640488	3144	29340	1452	597	517	22350	455300	0.374	8816	238	116	20371	1.996	4.309	2.377	2.064	3.945	-0.427	4.349	5.658	3.162	2.713	19.5	20371	1438	35.6	1.2900	4.3090	3.1578
350	Greece	0	2	0	0	0	0	0	0	0	0	0	0	88	82.8	6	6	2	2	4	8	0	51	429365	4884	11200	1259	1008	908	29590	260100	0.294	2624	159	180	8790	1.708	3.944	2.201	2.255	3.419	-0.532	4.471	5.415	3.1	2.958	32.0	8793	1273	35.7	1.5051	3.9441	3.1048
355	Bulgaria	0	1	0	0	0	0	0	0	0	0	0	0	23	37.5	7	7	7	7	2	2	0	43	238436	2808	33440	3938	1005	1001	45170	383500	0.449	12108	149	175	8490	1.633	3.929	2.173	2.243	4.083	-0.347	4.655	5.584	3.595	3	30.5	8490	3936	54.8	1.4843	3.9289	3.5951
360	Romania	0	0	0	0	0	0	0	0	0	0	0	0	20.3	20.9	6	7	6	7	3	3	0	92	176046	869	56770	2803	1095	.	18816	381100	0.172	7327	181	89	20253	1.964	4.306	2.258	1.949	3.865	-0.765	4.275	5.581	3.448	.	15.9	20244	2884	40.4	1.2014	4.3063	3.4600
365	Soviet_Union	1	4	1	1	0	0	0	1	0	1	0	1	20.4	18.2	6	6	6	7	4	3.5	0	8647	19926222	8242	1054650	4362	1659	1043	10147	2453200	0.061	14395	3371	139	241748	3.937	5.383	3.528	2.143	4.158	-1.214	4.006	6.39	3.64	3.018	27.9	242768	4344	10.8	1.4456	5.3852	3.6379
375	Finland	0	0	0	0	0	0	0	0	0	0	0	0	97.3	97.3	2	2	2	2	12	12	1	130	145842	3163	19170	4085	2168	1947	107201	494200	0.494	22472	39	84	4610	2.114	3.664	1.591	1.924	4.352	-0.306	5.03	5.694	3.611	3.289	13.1	4606	4162	51.4	1.1173	3.6633	3.6193
380	Sweden	0	0	0	0	0	0	0	0	0	0	0	0	99.9	99.9	1	1	1	1	14	14	1	174	1055443	13122	49730	6123	3443	3017	171528	1379600	0.498	31244	31	38	8043	2.241	3.905	1.491	1.58	4.495	-0.303	5.234	6.14	3.787	3.48	14.2	8043	6183	52.8	1.1523	3.9054	3.7912
385	Norway	0	0	0	0	0	0	0	0	0	0	0	0	99.9	99.9	1	1	1	1	14	14	1	125	344878	8890	18710	4823	2626	2407	158778	615900	0.605	22015	36	92	3879	2.097	3.589	1.556	1.964	4.343	-0.219	5.201	5.79	3.683	3.381	14.4	3877	4823	62.5	1.1584	3.5885	3.6833
390	Denmark	0	0	0	0	0	0	0	0	0	0	0	0	99.9	99.9	1	1	1	1	14	14	1	17	342018	6950	28850	5862	3040	2551	157752	776300	0.519	26640	45	91	4921	1.23	3.692	1.653	1.959	4.426	-0.285	5.198	5.89	3.768	3.407	14.2	4929	5835	55.4	1.1523	3.6928	3.7660
432	Mali	0	0	0	0	0	0	0	0	0	0	0	0	53	37.2	6	7	7	7	3	2.5	0	479	.	.	100	21	108	101	1592	8000	0.147	0	4	7	5022	2.68	3.701	0.602	0.845	0	-0.831	3.202	3.903	1.322	2.004	2.9	5047	20	42.8	0.4624	3.7030	1.3010
433	Senegal	0	1	0	0	0	0	0	0	0	0	0	0	49.4	53.7	6	6	3	4	4	6.5	0	76	15229	388	540	138	209	185	8789	34500	0.421	35	6	15	3925	1.881	3.594	0.778	1.176	1.544	-0.376	3.944	4.538	2.14	2.267	3.3	3925	138	57.6	0.5185	3.5938	2.1399
434	Benin_(Dahomey)	0	0	0	0	0	0	0	0	0	0	0	0	55.4	24.7	5	7	7	7	4	3	0	44	.	.	100	37	90	82	3611	9700	0.401	0	2	7	2686	1.643	3.429	0.301	0.845	0	-0.397	3.558	3.987	1.568	1.914	1.4	2686	37	50.3	0.1461	3.4291	1.5682
436	Niger	0	0	0	0	0	0	0	0	0	0	0	0	56.8	16	6	6	6	7	4	3.5	0	489	.	.	70	17	90	85	2241	9000	0.249	0	1	2	4016	2.689	3.604	0	0.301	0	-0.604	3.35	3.954	1.23	1.929	1.9	4016	17	32.2	0.2788	3.6038	1.2304
437	Ivory_Coast	0	0	0	0	0	0	0	0	0	0	0	0	43.1	45.6	6	6	5	6	4	4.5	0	124	.	.	1000	232	308	255	19883	85700	0.646	464	5	11	4310	2.093	3.634	0.699	1.041	2.667	-0.19	4.298	4.933	2.365	2.407	2.5	4310	232	63.6	0.3979	3.6345	2.3655
438	Guinea	0	1	1	0	0	0	0	0	0	0	0	0	.	37.3	7	7	7	7	2	2	0	95	.	.	380	97	120	116	3218	12620	0.268	0	5	12	3921	1.978	3.593	0.699	1.079	0	-0.572	3.508	4.101	1.987	2.064	4.2	3921	97	.	0.6232	3.5934	1.9868
